"Date","liczba_przypadkow","stan_rekordu_na","zgony","wojewodztwo"
2020-03-31,26,2020-03-30,3,"mazowieckie"
2020-03-31,11,2020-03-30,0,"opolskie"
2020-03-31,4,2020-03-30,0,"podkarpackie"
2020-03-31,8,2020-03-30,0,"podlaskie"
2020-03-31,3,2020-03-30,0,"pomorskie"
2020-03-31,14,2020-03-30,2,"śląskie"
2020-03-31,3,2020-03-30,0,"świętokrzyskie"
2020-03-31,1,2020-03-30,0,"warmińsko-mazurskie"
2020-03-31,24,2020-03-30,0,"wielkopolskie"
2020-03-31,2,2020-03-30,0,"zachodniopomorskie"
2020-03-31,193,2020-03-30,9,"Cały kraj"
2020-04-01,16,2020-03-31,0,"dolnośląskie"
2020-04-01,4,2020-03-31,0,"kujawsko-pomorskie"
2020-04-01,18,2020-03-31,0,"lubelskie"
2020-04-01,6,2020-03-31,0,"lubuskie"
2020-04-01,6,2020-03-31,0,"łódzkie"
2020-04-01,18,2020-03-31,0,"małopolskie"
2020-04-01,57,2020-03-31,1,"mazowieckie"
2020-04-01,16,2020-03-31,0,"opolskie"
2020-04-01,15,2020-03-31,0,"podkarpackie"
2020-04-01,0,2020-03-31,0,"podlaskie"
2020-04-01,6,2020-03-31,0,"pomorskie"
2020-04-01,55,2020-03-31,1,"śląskie"
2020-04-01,12,2020-03-31,0,"świętokrzyskie"
2020-04-01,1,2020-03-31,0,"warmińsko-mazurskie"
2020-04-01,16,2020-03-31,0,"wielkopolskie"
2020-04-01,10,2020-03-31,0,"zachodniopomorskie"
2020-04-01,256,2020-03-31,2,"Cały kraj"
2020-04-02,52,2020-04-01,0,"dolnośląskie"
2020-04-02,8,2020-04-01,0,"kujawsko-pomorskie"
2020-04-02,1,2020-04-01,1,"lubelskie"
2020-04-02,5,2020-04-01,0,"lubuskie"
2020-04-02,13,2020-04-01,1,"łódzkie"
2020-04-02,17,2020-04-01,0,"małopolskie"
2020-04-02,68,2020-04-01,3,"mazowieckie"
2020-04-02,5,2020-04-01,0,"opolskie"
2020-04-02,9,2020-04-01,0,"podkarpackie"
2020-04-02,11,2020-04-01,0,"podlaskie"
2020-04-02,6,2020-04-01,0,"pomorskie"
2020-04-02,8,2020-04-01,2,"śląskie"
2020-04-02,6,2020-04-01,0,"świętokrzyskie"
2020-04-02,3,2020-04-01,0,"warmińsko-mazurskie"
2020-04-02,21,2020-04-01,3,"wielkopolskie"
2020-04-02,10,2020-04-01,0,"zachodniopomorskie"
2020-04-02,243,2020-04-01,10,"Cały kraj"
2020-04-03,12,2020-04-02,2,"dolnośląskie"
2020-04-03,73,2020-04-02,0,"kujawsko-pomorskie"
2020-04-03,18,2020-04-02,0,"lubelskie"
2020-04-03,1,2020-04-02,0,"lubuskie"
2020-04-03,15,2020-04-02,0,"łódzkie"
2020-04-03,21,2020-04-02,3,"małopolskie"
2020-04-03,142,2020-04-02,3,"mazowieckie"
2020-04-03,3,2020-04-02,1,"opolskie"
2020-04-03,7,2020-04-02,0,"podkarpackie"
2020-04-03,12,2020-04-02,0,"podlaskie"
