wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
podlaskie;sokólski;6;0.91;0;0;0;58;340;63;7;56;0;t2011;2020-12-14
podlaskie;suwalski;4;1.12;0;0;0;13;179;22;4;18;0;t2012;2020-12-14
podlaskie;wysokomazowiecki;12;2.12;0;0;0;25;277;52;13;39;0;t2013;2020-12-14
podlaskie;zambrowski;5;1.15;0;0;0;32;246;31;6;25;0;t2014;2020-12-14
podlaskie;Białystok;41;1.38;4;1;3;254;1293;434;48;384;2;t2061;2020-12-14
podlaskie;Łomża;8;1.27;0;0;0;46;244;49;9;40;0;t2062;2020-12-14
podlaskie;Suwałki;8;1.15;0;0;0;64;455;44;14;30;0;t2063;2020-12-14
pomorskie;bytowski;6;0.76;0;0;0;51;370;110;7;103;0;t2201;2020-12-14
pomorskie;chojnicki;10;1.02;1;0;1;53;452;48;12;36;0;t2202;2020-12-14
pomorskie;człuchowski;11;1.97;1;0;1;61;424;35;12;23;0;t2203;2020-12-14
pomorskie;gdański;24;2.01;2;1;1;141;1097;140;30;104;6;t2204;2020-12-14
pomorskie;kartuski;16;1.14;3;0;3;89;765;121;18;100;3;t2205;2020-12-14
pomorskie;kościerski;12;1.65;2;2;0;47;369;64;16;48;0;t2206;2020-12-14
pomorskie;kwidzyński;5;0.6;0;0;0;61;474;75;12;62;1;t2207;2020-12-14
pomorskie;lęborski;2;0.3;2;0;2;34;268;62;2;58;2;t2208;2020-12-14
pomorskie;malborski;19;3.0;0;0;0;78;571;65;21;41;3;t2209;2020-12-14
pomorskie;nowodworski;14;3.95;1;0;1;30;324;42;17;22;3;t2210;2020-12-14
pomorskie;pucki;20;2.29;1;0;1;72;537;118;20;97;1;t2211;2020-12-14
pomorskie;słupski;13;1.32;0;0;0;76;816;87;14;73;0;t2212;2020-12-14
pomorskie;starogardzki;16;1.25;0;0;0;87;680;76;17;59;0;t2213;2020-12-14
pomorskie;tczewski;11;0.95;7;0;7;115;764;73;16;55;2;t2214;2020-12-14
pomorskie;wejherowski;34;1.55;4;0;4;218;1377;198;41;152;5;t2215;2020-12-14
pomorskie;sztumski;6;1.46;1;0;1;41;351;37;7;30;0;t2216;2020-12-14
pomorskie;Gdańsk;177;3.75;2;0;2;507;3989;903;195;660;48;t2261;2020-12-14
pomorskie;Gdynia;78;3.17;0;0;0;296;1653;340;86;243;11;t2262;2020-12-14
pomorskie;Słupsk;16;1.77;2;0;2;80;877;167;19;146;2;t2263;2020-12-14
pomorskie;Sopot;15;4.22;0;0;0;22;163;47;15;32;0;t2264;2020-12-14
śląskie;będziński;30;2.03;1;0;1;83;547;219;34;183;2;t2401;2020-12-14
śląskie;bielski;16;0.96;1;0;1;117;845;150;18;126;6;t2402;2020-12-14
śląskie;cieszyński;15;0.84;0;0;0;67;619;117;16;99;2;t2403;2020-12-14
śląskie;częstochowski;17;1.27;1;1;0;68;356;118;19;97;2;t2404;2020-12-14
śląskie;gliwicki;24;2.08;0;0;0;73;567;118;26;90;2;t2405;2020-12-14
śląskie;kłobucki;7;0.83;1;0;1;29;281;69;7;62;0;t2406;2020-12-14
śląskie;lubliniecki;6;0.79;2;0;2;44;256;60;6;51;3;t2407;2020-12-14
śląskie;mikołowski;17;1.71;0;0;0;68;417;97;18;78;1;t2408;2020-12-14
śląskie;myszkowski;14;1.98;1;0;1;44;296;51;15;36;0;t2409;2020-12-14
śląskie;pszczyński;16;1.43;1;0;1;50;365;91;16;72;3;t2410;2020-12-14
śląskie;raciborski;9;0.83;3;0;3;45;321;74;9;63;2;t2411;2020-12-14
śląskie;rybnicki;5;0.64;1;0;1;34;291;65;6;57;2;t2412;2020-12-14
śląskie;tarnogórski;33;2.34;0;0;0;97;583;161;35;122;4;t2413;2020-12-14
śląskie;bieruńsko-lędziński;10;1.67;1;0;1;44;267;48;12;36;0;t2414;2020-12-14
śląskie;wodzisławski;8;0.51;3;0;3;68;420;120;10;106;4;t2415;2020-12-14
śląskie;zawierciański;20;1.71;2;1;1;69;338;103;27;74;2;t2416;2020-12-14
śląskie;żywiecki;4;0.26;3;0;3;52;536;96;6;88;2;t2417;2020-12-14
śląskie;Bielsko-Biała;29;1.7;2;0;2;118;635;147;34;110;3;t2461;2020-12-14
śląskie;Bytom;16;0.97;3;0;3;85;459;138;20;117;1;t2462;2020-12-14
