"wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na","name","Date","liczba_ozdrowiencow"
"świętokrzyskie",1,0.01,0,0,0,12,1829,1178,2,1174,2,"t26",2021-07-03,"20210704075326_rap_rcb_woj_eksport.csv",2021-07-04,8
"warmińsko-mazurskie",2,0.01,0,0,0,4,1776,770,3,765,2,"t28",2021-07-03,"20210704075326_rap_rcb_woj_eksport.csv",2021-07-04,7
"wielkopolskie",3,0.01,1,0,1,20,8262,2407,8,2398,1,"t30",2021-07-03,"20210704075326_rap_rcb_woj_eksport.csv",2021-07-04,11
"zachodniopomorskie",0,0,0,0,0,49,3275,1168,0,1168,0,"t32",2021-07-03,"20210704075326_rap_rcb_woj_eksport.csv",2021-07-04,6
"Cały kraj",38,0.01,1,0,1,472,101857,23279,48,23189,42,"t00",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,110
"dolnośląskie",4,0.01,0,0,0,7,9265,1275,5,1267,3,"t02",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,13
"kujawsko-pomorskie",2,0.01,0,0,0,13,3098,754,3,750,1,"t04",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,1
"lubelskie",1,0,0,0,0,15,4475,853,1,850,2,"t06",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,15
"lubuskie",0,0,0,0,0,9,2493,448,0,448,0,"t08",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,4
"łódzkie",1,0,0,0,0,207,8177,1475,1,1470,4,"t10",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,10
"małopolskie",3,0.01,0,0,0,25,7060,2429,3,2417,9,"t12",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,9
"mazowieckie",6,0.01,0,0,0,26,28067,3646,7,3638,1,"t14",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,14
"opolskie",0,0,0,0,0,1,2439,394,0,394,0,"t16",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,2
"podkarpackie",1,0,0,0,0,5,3354,1322,1,1318,3,"t18",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,5
"podlaskie",0,0,0,0,0,1,1928,445,0,442,3,"t20",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,2
"pomorskie",6,0.03,0,0,0,4,6296,1460,6,1453,1,"t22",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,3
"śląskie",5,0.01,0,0,0,45,9116,2610,7,2602,1,"t24",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,9
"świętokrzyskie",4,0.03,0,0,0,10,1890,728,4,721,3,"t26",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,4
"warmińsko-mazurskie",3,0.02,0,0,0,6,1889,580,6,574,0,"t28",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,6
"wielkopolskie",1,0,0,0,0,29,8692,1491,3,1482,6,"t30",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,8
"zachodniopomorskie",1,0.01,1,0,1,68,3548,1003,1,998,4,"t32",2021-07-04,"20210705074513_rap_rcb_woj_eksport.csv",2021-07-05,5
"Cały kraj",96,0.03,10,4,6,2565,104225,49463,131,49222,110,"t00",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,96
"dolnośląskie",9,0.03,1,1,0,201,9428,3152,9,3138,5,"t02",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,9
"kujawsko-pomorskie",1,0,1,0,1,132,3251,2162,2,2151,9,"t04",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,3
"lubelskie",5,0.02,1,1,0,144,4984,2495,8,2479,8,"t06",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,10
"lubuskie",2,0.02,0,0,0,78,2513,1233,2,1227,4,"t08",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,1
"łódzkie",10,0.04,1,1,0,380,8371,3790,13,3768,9,"t10",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,17
"małopolskie",4,0.01,0,0,0,170,7458,3841,5,3831,5,"t12",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,9
"mazowieckie",15,0.03,2,1,1,360,27785,6765,21,6729,15,"t14",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,8
"opolskie",1,0.01,0,0,0,31,2484,1070,2,1067,1,"t16",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,1
"podkarpackie",4,0.02,0,0,0,86,3453,2517,5,2510,2,"t18",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,6
"podlaskie",9,0.08,0,0,0,59,1958,1241,14,1224,3,"t20",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,0
"pomorskie",5,0.02,0,0,0,175,6342,2726,8,2710,8,"t22",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,2
"śląskie",6,0.01,2,0,2,254,9517,5594,9,5577,8,"t24",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,11
"świętokrzyskie",2,0.02,0,0,0,57,2011,1424,4,1419,1,"t26",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,2
"warmińsko-mazurskie",7,0.05,1,0,1,63,1939,1692,8,1684,0,"t28",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,1
"wielkopolskie",10,0.03,1,0,1,254,9084,3355,14,3330,11,"t30",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,11
"zachodniopomorskie",4,0.02,0,0,0,116,3579,2217,5,2209,3,"t32",2021-07-05,"20210706074513_rap_rcb_woj_eksport.csv",2021-07-06,3
"Cały kraj",103,0.03,17,11,6,1809,101915,42891,154,42669,68,"t00",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,83
"dolnośląskie",4,0.01,6,6,0,121,9352,3161,6,3154,1,"t02",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,9
"kujawsko-pomorskie",13,0.06,1,0,1,85,3128,2025,15,2001,9,"t04",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,6
"lubelskie",10,0.05,0,0,0,83,5405,1991,11,1979,1,"t06",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,2
"lubuskie",3,0.03,0,0,0,52,2511,1037,5,1031,1,"t08",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,1
"łódzkie",7,0.03,2,0,2,278,8017,3022,8,3009,5,"t10",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,5
"małopolskie",6,0.02,5,4,1,151,7300,3105,7,3087,11,"t12",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,9
"mazowieckie",8,0.01,1,0,1,290,26943,5917,11,5902,4,"t14",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,15
"opolskie",3,0.03,0,0,0,22,2373,884,4,879,1,"t16",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,2
"podkarpackie",0,0,0,0,0,58,3367,2173,2,2170,1,"t18",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,1
"podlaskie",4,0.03,0,0,0,47,1834,979,6,973,0,"t20",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,3
"pomorskie",3,0.01,0,0,0,115,6142,2931,4,2921,6,"t22",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,3
"śląskie",7,0.02,0,0,0,191,9173,4726,12,4705,9,"t24",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,7
"świętokrzyskie",2,0.02,0,0,0,32,1967,1302,3,1294,5,"t26",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,4
"warmińsko-mazurskie",7,0.05,0,0,0,52,1942,1507,20,1485,2,"t28",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,1
"wielkopolskie",14,0.04,1,0,1,135,8833,2945,28,2908,9,"t30",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,14
"zachodniopomorskie",8,0.05,1,1,0,95,3562,1858,8,1849,1,"t32",2021-07-06,"20210707075951_rap_rcb_woj_eksport.csv",2021-07-07,1
"Cały kraj",93,0.02,19,3,16,1741,99467,39928,160,39671,97,"t00",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,125
"dolnośląskie",3,0.01,5,2,3,150,9032,2354,18,2326,10,"t02",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,12
"kujawsko-pomorskie",1,0,0,0,0,81,2948,1623,3,1613,7,"t04",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,5
"lubelskie",3,0.01,1,0,1,77,5820,1947,5,1940,2,"t06",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,6
"lubuskie",1,0.01,2,0,2,38,2446,924,1,922,1,"t08",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,1
"łódzkie",7,0.03,3,0,3,251,7718,2748,10,2732,6,"t10",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,16
"małopolskie",7,0.02,6,0,6,133,6988,3058,10,3040,8,"t12",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,8
"mazowieckie",17,0.03,1,1,0,269,26442,6088,24,6050,14,"t14",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,17
"opolskie",3,0.03,0,0,0,25,2310,1003,5,997,1,"t16",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,2
"podkarpackie",0,0,0,0,0,68,3224,1861,1,1860,0,"t18",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,2
"podlaskie",8,0.07,0,0,0,35,1843,904,10,894,0,"t20",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,5
"pomorskie",7,0.03,0,0,0,109,5982,2474,8,2459,7,"t22",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,5
"śląskie",4,0.01,0,0,0,209,8903,4430,7,4412,11,"t24",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,17
"świętokrzyskie",4,0.03,0,0,0,39,1881,1181,5,1174,2,"t26",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,5
"warmińsko-mazurskie",13,0.09,0,0,0,34,1879,1455,25,1425,5,"t28",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,3
"wielkopolskie",7,0.02,1,0,1,127,8597,2709,15,2686,8,"t30",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,13
"zachodniopomorskie",6,0.04,0,0,0,96,3399,1686,10,1668,8,"t32",2021-07-07,"20210708080745_rap_rcb_woj_eksport.csv",2021-07-08,6
"Cały kraj",76,0.02,17,3,14,1684,98171,40731,181,40487,63,"t00",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,94
"dolnośląskie",8,0.03,4,2,2,143,8607,2699,49,2642,8,"t02",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,6
"kujawsko-pomorskie",10,0.05,2,1,1,68,2939,1702,12,1689,1,"t04",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,11
"lubelskie",3,0.01,1,0,1,68,6355,1840,7,1829,4,"t06",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,7
"lubuskie",1,0.01,2,0,2,37,2435,918,9,907,2,"t08",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,2
"łódzkie",7,0.03,1,0,1,300,7641,2920,25,2886,9,"t10",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,7
"małopolskie",4,0.01,0,0,0,118,6680,3146,5,3134,7,"t12",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,7
"mazowieckie",11,0.02,0,0,0,282,26343,5732,16,5705,11,"t14",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,13
"opolskie",2,0.02,1,0,1,24,2313,888,4,884,0,"t16",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,1
"podkarpackie",2,0.01,0,0,0,73,3190,2044,3,2040,1,"t18",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,2
"podlaskie",2,0.02,0,0,0,37,1929,905,3,902,0,"t20",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,7
"pomorskie",4,0.02,3,0,3,97,5812,2245,10,2231,4,"t22",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,3
"śląskie",8,0.02,1,0,1,143,8401,4770,12,4754,4,"t24",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,6
"świętokrzyskie",0,0,1,0,1,30,1770,1238,2,1235,1,"t26",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,0
"warmińsko-mazurskie",0,0,0,0,0,40,1845,1163,2,1159,2,"t28",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,6
"wielkopolskie",8,0.02,1,0,1,132,8528,2779,11,2765,3,"t30",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,13
"zachodniopomorskie",4,0.02,0,0,0,89,3335,1797,9,1786,2,"t32",2021-07-08,"20210709075526_rap_rcb_woj_eksport.csv",2021-07-09,2
"Cały kraj",86,0.02,7,3,4,1953,98715,45531,179,45245,107,"t00",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,113
"dolnośląskie",5,0.02,2,1,1,164,8610,3202,53,3138,11,"t02",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,10
"kujawsko-pomorskie",4,0.02,0,0,0,57,2861,1772,4,1767,1,"t04",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,11
"lubelskie",5,0.02,0,0,0,104,6837,1950,5,1943,2,"t06",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,4
"lubuskie",3,0.03,0,0,0,40,2428,987,3,981,3,"t08",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,3
"łódzkie",5,0.02,1,0,1,337,7645,3148,6,3125,17,"t10",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,7
"małopolskie",6,0.02,0,0,0,108,6563,3910,12,3884,14,"t12",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,8
"mazowieckie",13,0.02,2,1,1,326,26780,6008,20,5971,17,"t14",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,13
"opolskie",3,0.03,0,0,0,17,2326,952,5,942,5,"t16",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,4
"podkarpackie",4,0.02,1,0,1,93,3157,2383,9,2374,0,"t18",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,6
"podlaskie",3,0.03,0,0,0,31,1947,1015,5,1006,4,"t20",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,1
"pomorskie",2,0.01,1,1,0,152,5727,2413,6,2400,7,"t22",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,5
"śląskie",8,0.02,0,0,0,177,8437,5387,11,5365,11,"t24",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,17
"świętokrzyskie",0,0,0,0,0,28,1771,1336,2,1331,3,"t26",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,4
"warmińsko-mazurskie",4,0.03,0,0,0,49,1760,1529,5,1524,0,"t28",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,3
"wielkopolskie",13,0.04,0,0,0,143,8476,3094,24,3062,8,"t30",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,12
"zachodniopomorskie",3,0.02,0,0,0,126,3347,1771,4,1763,4,"t32",2021-07-09,"20210710080322_rap_rcb_woj_eksport.csv",2021-07-10,5
"Cały kraj",66,0.02,1,0,1,548,98523,34156,83,34030,43,"t00",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,94
"dolnośląskie",11,0.04,0,0,0,22,8423,1994,12,1981,1,"t02",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,5
"kujawsko-pomorskie",4,0.02,0,0,0,14,2837,1358,4,1353,1,"t04",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,4
"lubelskie",4,0.02,0,0,0,25,7146,1396,5,1389,2,"t06",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,6
"lubuskie",1,0.01,0,0,0,4,2455,617,1,614,2,"t08",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,2
"łódzkie",3,0.01,0,0,0,152,7530,2212,4,2203,5,"t10",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,6
"małopolskie",3,0.01,0,0,0,39,6530,3182,3,3179,0,"t12",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,13
"mazowieckie",12,0.02,1,0,1,57,26833,5058,15,5033,10,"t14",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,16
"opolskie",3,0.03,0,0,0,4,2296,662,3,658,1,"t16",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,1
"podkarpackie",3,0.01,0,0,0,67,3109,1929,4,1925,0,"t18",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,2
"podlaskie",3,0.03,0,0,0,4,1886,686,4,681,1,"t20",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,2
"pomorskie",1,0,0,0,0,18,5472,1928,2,1922,4,"t22",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,3
"śląskie",3,0.01,0,0,0,40,8419,3713,3,3701,9,"t24",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,10
"świętokrzyskie",1,0.01,0,0,0,4,1766,1021,2,1018,1,"t26",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,1
"warmińsko-mazurskie",1,0.01,0,0,0,3,1765,764,3,761,0,"t28",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,3
"wielkopolskie",7,0.02,0,0,0,26,8605,2358,12,2342,4,"t30",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,8
"zachodniopomorskie",2,0.01,0,0,0,68,3409,1234,2,1230,2,"t32",2021-07-10,"20210711075140_rap_rcb_woj_eksport.csv",2021-07-11,9
"Cały kraj",44,0.01,0,0,0,240,97367,25671,70,25550,51,"t00",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,111
"dolnośląskie",1,0,0,0,0,9,8090,1267,1,1263,3,"t02",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,8
"kujawsko-pomorskie",2,0.01,0,0,0,14,2836,927,4,922,1,"t04",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,5
"lubelskie",0,0,0,0,0,6,7221,1122,2,1119,1,"t06",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,7
"lubuskie",1,0.01,0,0,0,1,2456,492,1,490,1,"t08",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,1
"łódzkie",2,0.01,0,0,0,92,7356,1405,5,1391,9,"t10",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,6
"małopolskie",7,0.02,0,0,0,15,6449,2487,8,2471,8,"t12",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,8
"mazowieckie",4,0.01,0,0,0,24,26505,3713,9,3700,4,"t14",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,18
"opolskie",1,0.01,0,0,0,3,2225,538,1,537,0,"t16",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,4
"podkarpackie",2,0.01,0,0,0,7,3082,1463,3,1459,1,"t18",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,7
"podlaskie",3,0.03,0,0,0,0,1853,526,3,523,0,"t20",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,2
"pomorskie",2,0.01,0,0,0,10,5663,1892,2,1885,5,"t22",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,9
"śląskie",2,0,0,0,0,17,8339,3036,5,3023,8,"t24",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,8
"świętokrzyskie",3,0.02,0,0,0,2,1789,843,4,838,1,"t26",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,3
"warmińsko-mazurskie",3,0.02,0,0,0,3,1791,649,3,642,4,"t28",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,4
"wielkopolskie",7,0.02,0,0,0,9,8349,1687,14,1669,4,"t30",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,15
"zachodniopomorskie",1,0.01,0,0,0,27,3326,1001,1,1000,0,"t32",2021-07-11,"20210712083122_rap_rcb_woj_eksport.csv",2021-07-12,5
"Cały kraj",96,0.03,13,7,6,2496,97465,46939,148,46708,83,"t00",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,66
"dolnośląskie",12,0.04,1,1,0,215,8150,3223,25,3195,3,"t02",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,8
"kujawsko-pomorskie",2,0.01,0,0,0,93,2786,2038,2,2034,2,"t04",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,3
"lubelskie",9,0.04,2,1,1,146,7534,2352,10,2335,7,"t06",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,4
"lubuskie",0,0,0,0,0,69,2485,1162,0,1161,1,"t08",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,2
"łódzkie",10,0.04,1,1,0,325,7450,3646,28,3609,9,"t10",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,8
"małopolskie",4,0.01,2,2,0,179,6571,3915,8,3895,12,"t12",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,2
"mazowieckie",8,0.01,0,0,0,389,25670,6124,12,6101,11,"t14",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,7
"opolskie",0,0,0,0,0,41,2153,1001,1,1000,0,"t16",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,5
"podkarpackie",2,0.01,1,1,0,91,3125,2292,2,2287,3,"t18",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,3
"podlaskie",5,0.04,1,1,0,37,1893,1102,5,1093,4,"t20",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,1
"pomorskie",7,0.03,0,0,0,164,5415,2655,7,2644,4,"t22",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,5
"śląskie",11,0.02,0,0,0,283,8550,5081,11,5065,5,"t24",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,6
"świętokrzyskie",0,0,3,0,3,46,1822,1449,1,1444,4,"t26",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,1
"warmińsko-mazurskie",3,0.02,0,0,0,67,1871,1618,3,1613,2,"t28",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,2
"wielkopolskie",10,0.03,1,0,1,235,8612,3263,20,3230,13,"t30",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,7
"zachodniopomorskie",8,0.05,1,0,1,114,3341,2075,8,2065,2,"t32",2021-07-12,"20210713081914_rap_rcb_woj_eksport.csv",2021-07-13,2
"Cały kraj",86,0.02,6,3,3,1614,92902,41643,131,41428,84,"t00",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,114
"dolnośląskie",5,0.02,2,2,0,115,7983,2639,8,2623,8,"t02",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,5
"kujawsko-pomorskie",0,0,1,1,0,65,2610,1909,0,1905,4,"t04",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,9
"lubelskie",7,0.03,0,0,0,95,7466,1872,8,1859,5,"t06",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,4
"lubuskie",0,0,0,0,0,38,2350,1056,1,1054,1,"t08",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,0
"łódzkie",10,0.04,0,0,0,195,6931,3193,20,3161,12,"t10",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,18
"małopolskie",7,0.02,0,0,0,123,6237,3016,9,3001,6,"t12",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,3
"mazowieckie",7,0.01,0,0,0,279,24385,5876,14,5845,17,"t14",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,11
"opolskie",1,0.01,0,0,0,12,2093,908,3,902,3,"t16",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,1
"podkarpackie",2,0.01,0,0,0,67,2985,2204,2,2202,0,"t18",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,2
"podlaskie",3,0.03,1,0,1,32,1926,960,6,953,1,"t20",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,3
"pomorskie",8,0.03,0,0,0,114,5062,2537,10,2524,3,"t22",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,10
"śląskie",7,0.02,0,0,0,180,7999,4666,9,4648,9,"t24",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,7
"świętokrzyskie",3,0.02,0,0,0,33,1696,1302,8,1292,2,"t26",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,16
"warmińsko-mazurskie",4,0.03,0,0,0,45,1755,1286,4,1280,2,"t28",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,4
"wielkopolskie",15,0.04,1,0,1,124,8220,2833,20,2809,4,"t30",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,8
"zachodniopomorskie",4,0.02,1,0,1,95,3168,1825,6,1815,4,"t32",2021-07-13,"20210714074511_rap_rcb_woj_eksport.csv",2021-07-14,12
